="",="(1)"
="",="ln_wage"
="wks_work",="0.00557***"
="",="(59.48)"
="hours",="0.00176***"
="",="(6.35)"
="_cons",="1.314***"
="",="(119.78)"
="N",="27770"
="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
