	(1)	(2)	(3)	(4)
VARIABLES	y	y	y	y
				
exer	-2.216***	2.823***	3.011***	2.924***
	(0.277)	(0.108)	(0.0995)	(0.0732)
gender				-9.931***
				(0.0730)
Constant	77.74***	70.16***	79.99***	80.01***
	(0.202)	(0.0958)	(0.0520)	(0.0487)
				
Observations	1,000	505	495	1,000
R-squared	0.060	0.576	0.650	0.952
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
